AbbreviatedCaseNumber  # Abbreviated Case Number
ST_FileType  # File Type
ST_FillId  # Fill Id
ST_FirstSliceAng  # First Slice Angle
ST_FixedPercentage  # Fixed Percentage
ST_FlowDirection  # Flow Direction
ST_FontCollectionIndex  # Font Collection Index
ST_FontFamily  # Font Family
ST_FontFamily  # Font Family Value
ST_FontId  # Font Id
ST_FontScheme  # Font scheme Styles
ST_FormatAction  # PivotTable Format Types
ST_FormulaExpression  # Formula Expression Type
ST_Formula  # Formula
ST_FOVAngle  # Field of View Angle
ST_FrameLayout  # Frameset Layout Order
ST_FrameScrollbar  # Frame Scrollbar Visibility
ST_FtnEdn  # Footnote or Endnote Type
ST_FType  # Fraction Type
ST_FunctionArgument  # Function Argument
ST_FunctionOperator  # Function Operator
ST_FunctionType  # Function Type
ST_FunctionValue  # Function Value
ST_GapAmount  # Gap Amount
ST_GapAmountPercent  # Gap Amount Percentage
ST_GeomGuideFormula  # Geometry Guide Formula Properties
ST_GeomGuideName  # Geometry Guide Name Properties
ST_GradientType  # Gradient Type
ST_GroupBy  # Values Group By
ST_Grouping  # Grouping
ST_Guid  # 128-Bit GUID
ST_HAnchor  # Horizontal Anchor Location
ST_HdrFtr  # Header or Footer Type
ST_HeightRule  # Height Rule
ST_HexColorAuto  # ‘Automatic’ Color Value
ST_HexColor  # Color Value
ST_HexColorRGB  # Hexadecimal Color Value
ST_HierarchyAlignment  # Hierarchy Alignment
ST_HierBranchStyle  # Hierarchy Branch Style Definition
ST_HighlightColor  # Text Highlight Colors
ST_Hint  # Font Type Hint
ST_HoleSize  # Hole Size
ST_HoleSizePercent  # Hole Size Percentage
ST_HorizontalAlignment  # Horizontal Alignment Type
ST_HPercent  # Height Percent
ST_HPercentWithSymbol  # Height Percent with Symbol
ST_HpsMeasure  # Measurement in Half-Points
ST_HtmlFmt  # HTML Formatting Handling
ST_HueDir  # Hue Direction
ST_ChapterSep  # Chapter Separator Types
ST_ChartBuildStep  # Chart Animation Build Step
ST_ChildAlignment  # Child Alignment
ST_ChildDirection  # Child Direction
ST_ChildOrderType  # Child Order
ST_IconSetType  # Icon Set Type
ST_Index  # Index
ST_Index1  # 1-Based Index
ST_InfoTextType  # Help or Status Text Type
ST_Ints  # Integer List
ST_ItemType  # PivotItem Type
ST_Jc  # Horizontal Alignment Type
ST_JcTable  # Table Alignment Type
ST_LayoutMode  # Layout Mode
ST_LayoutShapeType  # Layout Shape Type
ST_LayoutTarget  # Layout Target
ST_LblAlgn  # Label Alignment
ST_LblOffset  # Label Offset
ST_LblOffsetPercent  # Label Offset Percentage
ST_LegendPos  # Legend Position
ST_LevelSuffix  # Content Between Numbering Symbol and Paragraph Text
ST_LightRigDirection  # Light Rig Direction
ST_LightRigType  # Light Rig Type
ST_LimLoc  # Limit Location
ST_LinearDirection  # Linear Direction
ST_LineCap  # End Line Cap
ST_LineEndLength  # Line End Length
ST_LineEndType  # Line End Type
ST_LineNumberRestart  # Line Numbering Restart Position
ST_LineSpacingRule  # Line Spacing Rule
ST_LineWidth  # Line Width
ST_Lock  # Locking Types
ST_LogBase  # Logarithmic Base
ST_LongHexNumber  # Eight Digit Hexadecimal Value
ST_MacroName  # Script Subroutine Name Value
ST_MailMergeDataType  # Mail Merge Data Source Type Values
ST_MailMergeDest  # Merged Document Destination Types
ST_MailMergeDocType  # Source Document Types
ST_MailMergeOdsoFMDFieldType  # Merge Field Mapping Types
ST_MailMergeSourceType  # Mail Merge ODSO Data Source Types
ST_MarkerCoordinate  # Chart Marker Coordinate Value
ST_MarkerSize  # Marker Size
ST_MdxFunctionType  # MDX Function Type
ST_MdxKPIProperty  # MDX KPI Property
ST_MdxSetOrder  # MDX Set Order
ST_MeasurementOrPercent  # Measurement or Percentage Value
ST_Merge  # Merged Cell Type
ST_ModelId  # Model Identifier
ST_MultiLevelType  # Numbering Definition Type
ST_NodeCount  # Number of Nodes Definition
ST_NodeVerticalAlignment  # Node Vertical Alignment
ST_NumberFormat  # Numbering Format
ST_NumFmtId  # Number Format Id
ST_ObjectDrawAspect  # Embedded Object Representations
ST_Objects  # Object Display Types
ST_ObjectUpdateMode  # Embedded Object Update Modes
stockChart  # Stock Charts
ST_Offset  # Offset
ST_OfPieType  # Pie of Pie or Bar of Pie Type
ST_OleObjectFollowColorScheme  # Embedded object to Follow Color Scheme
ST_OleUpdate  # OLE Update Types
ST_OnOff  # On/Off Value
ST_OnOffStyleType  # On/Off Style Type
stop  # Gradient Stop
storage  # Binary Storage
ST_Order  # Order
storeMappedDataAs  # Custom XML Data Date Storage Format
ST_OverlapPercent  # Overlap Percentage
ST_PageBorderDisplay  # Page Border Display Options
ST_PageBorderOffset  # Page Border Positioning Base
ST_PageBorderZOrder  # Page Border Z-Order
ST_PageOrder  # Page Order
ST_PageOrientation  # Page Orientation
ST_PageSetupOrientation  # Printed Page Orientation
ST_PaneState  # Pane State
ST_Panose  # Panose-1 Number
ST_ParameterId  # Parameter Identifier
ST_ParameterType  # Parameter Type
ST_ParameterVal  # Parameter Values
ST_PathFillMode  # Path Fill Mode
ST_PathShadeType  # Path Shade Type
ST_PatternType  # Pattern Type
ST_PenAlignment  # Alignment Type
ST_Percentage  # Percentage
ST_Period  # Period
ST_Perspective  # Perspective
ST_PhoneticAlignment  # Phonetic Alignment Types
ST_PhoneticType  # Phonetic Type
ST_PhotoAlbumFrameShape  # Photo Album Shape for Photo Mask
ST_PhotoAlbumLayout  # Photo Album Layout Definition
ST_PictureFormat  # Picture Format
ST_PictureStackUnit  # Picture Stack Unit
ST_PitchFamily  # Pitch Family
ST_Pitch  # Font Pitch Value
ST_PivotAreaType  # Rule Type
ST_PivotFilterType  # Pivot Filter Types
ST_PlaceholderSize  # Placeholder Size
ST_PlaceholderType  # Placeholder IDs
ST_PointMeasure  # Measurement in Points
ST_PositiveCoordinate  # Positive Coordinate
ST_PositiveCoordinate32  # Positive Coordinate Point
ST_PositiveFixedAngle  # Positive Fixed Angle
ST_PositiveFixedPercentage  # Positive Fixed Percentage
ST_PositiveFixedPercentage  # Positive Fixed Percentage Value with Sign
ST_PositivePercentage  # Positive Percentage Value with Sign
ST_PositivePercentage  # Positive Percentage Value with Sign
ST_PositiveUniversalMeasure  # Positive Universal Measurement
ST_PresetCameraType  # Preset Camera Type
ST_PresetColorVal  # Preset Color Value
ST_PresetLineDashVal  # Preset Line Dash Value
ST_PresetMaterialType  # Preset Material Type
ST_PresetPatternVal  # Preset Pattern Value
ST_PresetShadowVal  # Preset Shadow Type
ST_PrintColorMode  # Print Color Mode
ST_PrintError  # Print Errors
ST_PrintWhat  # Default print output
ST_ProofErr  # Proofing Error Type
ST_Proof  # Proofing State Values
ST_PrSetCustVal  # Property Set Customized Value
stp  # Strings in Subtopic
ST_PTabAlignment  # Absolute Position Tab Alignment
ST_PTabLeader  # Absolute Position Tab Leader Character
ST_PTabRelativeTo  # Absolute Position Tab Positioning Base
ST_PyramidAccentPosition  # Pyramid Accent Position
ST_PyramidAccentTextMargin  # Pyramid Accent Text Margin
ST_Qualifier  # Qualifier
ST_RadarStyle  # Radar Style
ST_RectAlignment  # Rectangle Alignments
ST_RefA  # Single Cell Reference
ST_Ref  # Cell References
ST_RefMode  # Reference Mode
ST_Relation  # Characteristic Relationship Types
ST_RelationshipId  # Explicit Relationship ID
ST_RelFromH  # Horizontal Relative Positioning
ST_RelFromV  # Vertical Relative Positioning
ST_RestartNumber  # Footnote/Endnote Numbering Restart Locations
stretch  # Stretch
ST_RevisionAction  # Revision Action Types
strikeBLTR  # Border Box Strikethrough Bottom-Left to Top-Right
strikeH  # Border Box Strikethrough Horizontal
strike  # Single Strikethrough
strike  # Strike Through
strikeTLBR  # Border Box Strikethrough Top-Left to Bottom-Right
strikeV  # Border Box Strikethrough Vertical
strips  # Strips Slide Transition
strLit  # String Literal
ST_RotationPath  # Rotation Path
ST_RotX  # X Rotation
ST_RowID  # Row ID
strRef  # String Reference
ST_RubyAlign  # Phonetic Guide Text Alignment
strVal  # String Value
ST_rwColActionType  # Row Column Action Type
ST_ScatterStyle  # Scatter Style
ST_Scope  # Conditional Formatting Scope
ST_Script  # Script
ST_SdtDateMappingType  # Date Storage Format Types
ST_SecondaryChildAlignment  # Secondary Child Alignment
ST_SecondaryLinearDirection  # Secondary Linear Direction
ST_SecondPieSizePercent  # Second Pie Size Percentage
ST_SecondPieSize  # Second Pie Size
ST_SectionMark  # Section Type
ST_ShapeID  # Shape ID
ST_Shape  # Shape
ST_ShapeType  # Preset Shape Types
ST_SheetState  # Sheet Visibility Types
ST_SheetViewType  # Sheet View Type
ST_ShortHexNumber  # Four Digit Hexadecimal Value
ST_ShowDataAs  # Show Data As
ST_SchemeColorVal  # Scheme Color
ST_SignedHpsMeasure  # Signed Measurement in Half-Points
ST_SizeRepresents  # Size Represents
ST_SlideLayoutId  # Slide Layout ID
ST_SlideLayoutType  # Slide Layout Type
ST_SlideMasterId  # Slide Master ID
ST_SlideSizeCoordinate  # Slide Size Coordinate
ST_SlideSizeType  # Slide Size Type
ST_SortBy  # Sort By
ST_SortMethod  # Sort Method
ST_SortType  # Set Sort Order
ST_SourceType  # Bibliographic Data Source Types
ST_SourceType  # PivotCache Type
ST_SpacingRule  # Spacing Rule
ST_SplitterBarState  # Splitter Bar State
ST_SplitType  # Split Type
ST_Sqref  # Reference Sequence
ST_StartingElement  # Starting Element
ST_String  # String
ST_StyleMatrixColumnIndex  # Style Matrix Column Index
ST_StyleSort  # Style Sort Settings
ST_Style  # Style
ST_Style  # Style
ST_StyleType  # Style Types
ST_SystemColorVal  # System Color Value
ST_TabJc  # Custom Tab Stop Type
ST_TableStyleType  # Table Style Type
ST_TableType  # Table Type
ST_TabTlc  # Custom Tab Stop Leader Character
ST_TargetScreenSize  # Target Screen Size Types
ST_TargetScreenSz  # Target Screen Sizes for Generated Web Pages
ST_TblLayoutType  # Table Layout Type
ST_TblStyleOverrideType  # Conditional Table Style Formatting Types
ST_TblWidth  # Table Width Units
ST_TextAlignment  # Vertical Text Alignment Types
ST_TextAlignType  # Text Alignment Types
ST_TextAnchorHorizontal  # Text Anchor Horizontal
ST_TextAnchoringType  # Text Anchoring Types
ST_TextAnchorVertical  # Text Anchor Vertical
ST_TextBlockDirection  # Text Block Direction
ST_TextboxTightWrap  # Lines To Tight Wrap Within Text Box
ST_TextBulletSize  # Bullet Size Percentage
ST_TextBulletSizePercent  # Bullet Size Percentage
ST_TextBulletStartAtNum  # Start Bullet At Number
ST_TextCapsType  # Text Cap Types
ST_TextColumnCount  # Text Column Count
ST_TextDirection  # Text Direction
ST_TextDirection  # Text Flow Direction
ST_TextEffect  # Animated Text Effects
ST_TextFontAlignType  # Font Alignment Types
ST_TextFontScalePercentOrPercentString  # Text Font Scale Percentage
ST_TextFontSize  # Text Font Size
ST_TextHAlign  # Comment Text Horizontal Alignment
ST_TextHorzOverflowType  # Text Horizontal Overflow Types
ST_TextIndentLevelType  # Text Indent Level Type
ST_TextMargin  # Text Margin
ST_TextPoint  # Text Point
ST_TextPointUnqualified  # Text Point
ST_TextScalePercent  # Text Expansion/Compression Percentage
ST_TextShapeType  # Preset Text Shape Types
ST_TextSpacingPercentOrPercentString  # Text Spacing Percent
ST_TextSpacingPoint  # Text Spacing Point
ST_TextStrikeType  # Text Strike Type
ST_TextTabAlignType  # Text Tab Alignment Types
ST_TextTypeface  # Text Typeface
ST_TextUnderlineType  # Text Underline Types
ST_TextVAlign  # Comment Text Vertical Alignment
ST_TextVerticalType  # Vertical Text Types
ST_TextVertOverflowType  # Text Vertical Overflow
ST_TextWrappingType  # Text Wrapping Types
ST_ThemeColor  # Theme Color
ST_Theme  # Theme Font
ST_ThicknessPercent  # Thickness Percentage
ST_Thickness  # Thickness Percentage
ST_TickLblPos  # Tick Label Position
ST_TickMark  # Tick Mark
ST_TileFlipMode  # Tile Flip Mode
ST_TimePeriod  # Time Period Types
ST_TimeUnit  # Time Unit
ST_TLAnimateBehaviorValueType  # Time List Animate Behavior Value Types
ST_TLAnimateColorDirection  # Time List Animate Color Direction
ST_TLBehaviorAccumulateType  # Behavior Accumulate Type
ST_TLBehaviorAdditiveType  # Behavior Additive Type
ST_TLBehaviorOverrideType  # Behavior Override Type
ST_TLCommandType  # Command Type
ST_TLDiagramBuildType  # Diagram Build Types
ST_TLChartSubelementType  # Chart Subelement Type
ST_TLNextActionType  # Next Action Type
ST_TLOleChartBuildType  # Embedded Chart Build Type
ST_TLPreviousActionType  # Previous Action Type
ST_TLTimeAnimateValueTime  # Animation Time
ST_TLTimeNodeFillType  # Time Node Fill Type
ST_TLTimeNodeID  # Time Node ID
ST_TLTimeNodeMasterRelation  # Time Node Master Relation
ST_TLTimeNodePresetClassType  # Time Node Preset Class Type
ST_TLTimeNodeRestartType  # Time Node Restart Type
ST_TLTimeNodeType  # Time Node Type
ST_TLTime  # Time
ST_TLTriggerEvent  # Trigger Event
ST_TLTriggerRuntimeNode  # Trigger RunTime Node
ST_TotalsRowFunction  # Totals Row Function Types
ST_TransitionCornerDirectionType  # Transition Corner Direction Type
ST_TransitionEightDirectionType  # Transition Eight Direction
ST_TransitionInOutDirectionType  # Transition In/Out Direction Type
ST_TransitionSideDirectionType  # Transition Side Direction Type
ST_TwipsMeasure  # Measurement in Twentieths of a Point
ST_Type  # Top N Evaluation Type
ST_UcharHexNumber  # Two Digit Hexadecimal Value
ST_Underline  # Underline Patterns
ST_UnderlineValues  # Underline Types
ST_UnsignedDecimalNumber  # Unsigned Decimal Number Value
ST_UnSignedInteger  # Unsigned integer.
ST_UnsignedIntHex  # Hex Unsigned Integer
ST_UpdateLinks  # Update Links Behavior Types
ST_VAnchor  # Vertical Anchor Location
ST_VectorBaseType  # Vector Base Type Simple Type
ST_VerticalAlignment  # Vertical Alignment
ST_VerticalAlignRun  # Vertical Positioning Location
ST_VerticalJc  # Vertical Alignment Type
ST_ViewType  # List of View Types
ST_Visibility  # Visibility Types
ST_VolValueType  # Volatile Dependency Value Types
ST_WebSourceType  # Web Source Type
ST_WmlColorSchemeIndex  # Theme Color Reference
ST_WrapDistance  # Distance from Text
ST_Wrap  # Text Wrapping around Text Frame Type
ST_XAlign  # Horizontal Alignment Location
ST_XmlDataType  # XML Data Types
ST_XmlName  # XML Name
ST_Xstring  # Escaped String
ST_YAlign  # Vertical Alignment Location
style  # Associated Paragraph Style Name
styleData  # Style Data
styleDefHdrLst  # List of Style Definition Headers
styleDefHdr  # Style Definition Header
styleDef  # Style Definition
styleLbl  # Style Label
styleLbl  # Style Label
styleLink  # Numbering Style Definition
styleLockQFSet  # Prevent Replacement of Styles Part
styleLockTheme  # Prevent Modification of Themes Part
stylePaneFormatFilter  # Suggested Filtering for List of Document Styles
stylePaneSortMethod  # Suggested Sorting for List of Document Styles
style  # Shape Style
style  # Shape Style
style  # Shape Style
style  # Shape Style
style  # Shape Style
style  # Shape Style
styleSheet  # Style Sheet
styles  # Style Definitions
style  # Style
style  # Style Definition
sty  # style
subDoc  # Anchor for Subdocument Location
subSp  # Subshape
subTnLst  # Sub-TimeNodes List
suff  # Content Between Numbering Symbol and Paragraph Text
summaryLength  # Percentage of Document to Use When Generating Summary
suppressAutoHyphens  # Suppress Hyphenation for Paragraph
suppressLineNumbers  # Suppress Line Numbers for Paragraph
suppressOverlap  # Prevent Text Frames From Overlapping
surface3DChart  # 3D Surface Charts
swCell  # Southwest Cell
sx  # Horizontal Ratio
symbol  # Symbol
sym  # Symbol Font
sysClr  # System Color
sy  # Vertical Ratio
szCs  # Complex Script Font Size
sz  # Font Size
sz  # Frame Size
sz  # Nested Frameset Size
sz  # Non-Complex Script Font Size
tabColor  # Sheet Tab Color
tab  # Custom Tab Stop
tabIndex  # Form Field Navigation Order Index
tabIndex  # Structured Document Tag Navigation Order Index
tableColumn  # Table Column
Table Measurement  # CT_TblWidth
tableParts  # Table Parts
tablePart  # Table Part
tableStyles  # Table Styles
tableStyle  # Table Style
tableStyle  # Table Style
tabs  # Set of Custom Tab Stops
tab  # Tab Character
tab  # Tab Stop
tagLst  # Programmable Tab List
tag  # Programmatic Tag
Tag  # Tag
tailEnd  # Tail line end style
targetScreenSz  # Target Screen Size for Web Page
tavLst  # Time Animated Value List
tav  # Time Animate Value
tblBg  # Table Background
tblBorders  # Table Borders
tblBorders  # Table Borders Exceptions
tblCaption  # Table Caption
tblCellMar  # Table Cell Margin Defaults
tblCellMar  # Table Cell Margin Exceptions
tblCellSpacing  # Table Cell Spacing Default
tblCellSpacing  # Table Cell Spacing Exception
tblCellSpacing  # Table Row Cell Spacing
tblGrid  # Previous Table Grid
tblGrid  # Table Grid
tblGrid  # Table Grid
tblHeader  # Repeat Table Row on Every New Page
tblInd  # Table Indent from Leading Margin
tblInd  # Table Indent from Leading Margin Exception
tblLayout  # Table Layout
tblLayout  # Table Layout Exception
tblLook  # Table Style Conditional Formatting Settings
tblLook  # Table Style Conditional Formatting Settings Exception
tblOverlap  # Floating Table Allows Other Tables to Overlap
tblpPr  # Floating Table Positioning
tblPrExChange  # Revision Information for Table-Level Property Exceptions
tblPrEx  # Table-Level Property Exceptions
tblPrChange  # Revision Information for Table Properties
tblPr  # Style Table Properties
tblPr  # Table Properties
tblPr  # Table Properties
tblStyleColBandSize  # Number of Columns in Column Band
tblStyleLst  # Table Style List
tblStylePr  # Style Conditional Table Formatting Properties
tblStyle  # Referenced Table Style
tblStyle  # Table Style
tblW  # Preferred Table Width
tblW  # Preferred Table Width Exception
tcBdr  # Table Cell Borders
tcBorders  # Table Cell Borders
tcFitText  # Fit Text Within Cell
tcMar  # Single Table Cell Margins
tcPr  # Previous Table Cell Properties
tcPr  # Style Table Cell Properties
tcPr  # Table Cell Properties
tcPr  # Table Cell Properties
tcPr  # Table Style Conditional Formatting Table Cell Properties
tcStyle  # Table Cell Style
tc  # Table Cell
tc  # Table Cell
tcTxStyle  # Table Cell Text Style
tcW  # Preferred Table Cell Width
Template  # Name of Document Template
temporary  # Remove Structured Document Tag When Contents Are Edited
textAlignment  # Vertical Character Alignment on Line
textboxTightWrap  # Allow Surrounding Paragraphs to Tight Wrap to Text Box Contents
text  # Comment's Text Content
text  # Comment Text
textDirection  # Text Flow Direction
textFields  # Fields
textField  # Text Import Field Settings
textInput  # Text Box Form Field Properties
text  # Plain Text Structured Document Tag
textPr  # Text Import Settings
Theater  # Theater
themeElements  # Theme Elements
themeFontLang  # Theme Font Languages
themeManager  # Theme Manager
themeOverride  # Theme Override
theme  # Theme
ThesisType  # Thesis Type
thickness  # Thickness
tickLblPos  # Tick Label Position
tickLblSkip  # Tick Label Skip
tickMarkSkip  # Tick Mark Skip
tileRect  # Tile Rectangle
tile  # Tile
timing  # Slide Timing Information for a Slide Layout
tint  # Tint
tint  # Tint Effect
TitlesOfParts  # Part Titles
titleStyle  # Slide Master Title Text Style
title  # Title
title  # Title
title  # Title
title  # Title
tl2br  # Table Cell Top Left to Bottom Right Diagonal Border
tl2br  # Top Left to Bottom Right Border
tmAbs  # Time Absolute
tmPct  # Time Percentage
tmplLst  # Template effects
tmpl  # Template Effects
tnLst  # Time Node List
to  # Ending Anchor Point
to  # Ending Anchor Point
topLinePunct  # Compress Punctuation at Start of a Line
top  # Paragraph Border Above Identical Paragraphs
top  # Table Cell Top Border
top  # Table Cell Top Margin Default
top  # Table Cell Top Margin Exception
top  # Table Top Border
top  # Top Border
top  # Top Border
top  # Top Border
top  # Top Border for HTML div
top10  # Top 10
totalsRowFormula  # Totals Row Formula
TotalTime  # Total Edit Time Metadata Element
to  # To
to  # To
to  # To
tpls  # Tuples
tpl  # Tuple
trackRevisions  # Track Revisions to Document
transition  # Slide Transition for a Slide Layout
trendlineLbl  # Trendline Label
trendline  # Trendlines
trendlineType  # Trendline Type
trHeight  # Table Row Height
trPrChange  # Revision Information for Table Row Properties
trPr  # Previous Table Row Properties
trPr  # Style Table Row Properties
trPr  # Table Row Properties
trPr  # Table Style Conditional Formatting Table Row Properties
tr  # References
tr  # Table Row
tr  # Table Row
tr2bl  # Table Cell Top Right to Bottom Left Diagonal Border
tr2bl  # Top Right to Bottom Left Border
t  # Text
t  # Text
t  # Text
t  # Text Body
t  # Text String
t  # Tuple MDX Metadata
tupleCache  # Tuple Cache
twoCellAnchor  # Two Cell Anchor Shape Size
txBody  # Shape Text Body
txbxContent  # Rich Text Box Content Container
txbx  # Textual contents of shape
txDef  # Text Default
txEffectClrLst  # Text Effect Color List
txEl  # Text Element
txFillClrLst  # Text Fill Color List
tx  # Chart Text
tx  # Series Text
txSp  # Text Shape
txStyles  # Slide Master Text Styles
type  # Entry Type
type  # Fraction type
type  # Merge Field Mapping
type  # ODSO Data Source Type
Type  # Patent Type
type  # Section Type
types  # Entry Types
type  # Text Box Form Field Type
udl  # UDL Connection String
uFillTx  # Underline Fill Properties Follow Text
uiPriority  # Optional User Interface Sorting Order
uLnTx  # Underline Follows Text
ulTrailSpace  # Underline All Trailing Spaces
uniqueTag  # Unique Value for Record
upBars  # Up Bars
updateFields  # Automatically Recalculate Fields on Open
upDownBars  # Up/Down Bars
up  # Up Vector
URL  # URL
userInterface  # User Interface
userShapes  # Reference to Chart Drawing Part
userShapes  # User Shapes
users  # User List
useSpRect  # Use Shape Text Rectangle
useXSLTWhenSaving  # Save Document as XML File through Custom XSL Transform
valAx  # Value Axis
val  # DDE Link Value
val  # Error Bar Value
vAlign  # Table Cell Vertical Alignment
vAlign  # Vertical Text Alignment on Page
valueMetadata  # Value Metadata
values  # DDE Name Values
value  # Value
val  # Value
val  # Values
vanish  # Hidden Text
varLst  # Variable List
varyColors  # Vary Colors by Point
v  # Cell Value
Version  # Version
vertAlign  # Subscript/Superscript Text
vertAlign  # Vertical Alignment
vertical  # Vertical Inner Border
videoFile  # Video from File
video  # Video
view  # Document View Setting
viewMergedData  # View Merged Data Within Document
viewPr  # Presentation-wide View Properties
view3D  # View In 3D
vMerge  # Vertically Merged Cell
v  # Numeric Value
volTypes  # Volatile Dependency Types
volType  # Volatile Dependency Type
vstream  # Binary Versioned Stream
v  # Text Value
wAfter  # Preferred Width After Table Row
wavAudioFile  # Audio from WAV File
wBefore  # Preferred Width Before Table Row
webHidden  # Web Hidden Text
webPr  # Web Query Properties
webPublishing  # Web Publishing Properties
webPublishItems  # Web Publishing Items
webPublishItem  # Web Publishing Item
webPublishObjects  # Web Publish Objects
webPublishObject  # Web Publishing Object
webSettings  # Web Page Settings
w  # Expanded/Compressed Text
w  # Frameset Splitter Width
wholeTbl  # Whole Table
whole  # Whole E2O Formatting
whole  # Whole E2O Formatting
widowControl  # Allow First/Last Line to Display on a Separate Page
wireframe  # Wireframe
wMode  # Width Mode
Words  # Word Count
wordWrap  # Allow Line Breaking At Character Level
workbookPr  # Workbook Properties
worksheetSource  # Worksheet PivotCache Source
worksheet  # Worksheet
wpc  # WordprocessingML Drawing Canvas
wrapIndent  # Wrap Indent
wrapNone  # No Text Wrapping
wrapPolygon  # Wrapping Polygon
wrapRight  # Wrap Right
wrapSquare  # Square Wrapping
wrapThrough  # Through Wrapping
wrapTight  # Tight Wrapping
writeProtection  # Write Protection
wsDr  # Worksheet Drawing
wsp  # WordprocessingML Shape
w  # Width
xf  # Format
xfrm  # Graphic Frame Transform
xfrm  # Transform Effect
xfrm  # 2D Transform for Graphic Frame
xfrm  # 2D Transform for Graphic Frames
xfrm  # 2D Transform for Graphic Frames
xfrm  # 2D Transform for Grouped Objects
x  # Left
x  # Member Property Index
xmlCellPr  # Cell Properties
xmlColumnPr  # XML Column Properties
xmlPr  # Column XML Properties
xMode  # Left Mode
x  # Relative X Coordinate
x  # Shared Items Index
xVal  # X Values
YearAccessed  # Year Accessed
yearLong  # Date Block - Long Year Format
yearShort  # Date Block - Short Year Format
Year  # Year
yMode  # Top Mode
y  # Relative Y Coordinate
y  # Top
yVal  # Y Values
zeroAsc  # Phantom Zero Ascent
zeroDesc  # Phantom Zero Descent
zeroWid  # Phantom Zero Width
zoom  # Magnification Setting
zoom  # Zoom Slide Transition
