AbbreviatedCaseNumber  # Abbreviated Case Number
fontScheme  # Font Scheme
footerReference  # Footer Reference
footnotePr  # Document-Wide Footnote Properties
footnotePr  # Section-Wide Footnote Properties
footnoteReference  # Footnote Reference
footnoteRef  # Footnote Reference Mark
footnotes  # Document Footnotes
footnote  # Special Footnote List
forceUpgrade  # Upgrade Document on Open
formatCode  # Format Code
format  # PivotTable Format
formats  # PivotTable Formats
format  # Text Box Form Field Formatting
formatting  # Formatting
formsDesign  # Structured Document Tag Placeholder Text Should be Resaved
formula  # Formula
forward  # Forward
fPr  # Fraction Properties
frameLayout  # Frameset Layout
framePr  # Text Frame Properties
frameset  # Nested Frameset Definition
framesetSplitbar  # Frameset Splitter Properties
from  # From
from  # From
from  # Starting Anchor Point
from  # Starting Anchor Point
ftr  # Footer
func  # Function Apply Object
funcPr  # Function Properties
functionGroup  # Function Group
futureMetadata  # Future Metadata
gallery  # Gallery Associated With Entry
gamma  # Gamma
gapWidth  # Gap Width
gd  # Shape Guide
glossaryDocument  # Glossary Document Root Element
glow  # Glow Effect
gradFill  # Gradient Fill
gradientFill  # Gradient
graphicData  # Graphic Object Data
graphicEl  # Graphic Element
graphicFrame  # Graphic Frame
graphicFrame  # Graphic Frame
graphicFrame  # Graphic Frame
graphicFrame  # Graphic Frame
graphicFrameLocks  # Graphic Frame Locks
gray  # Gray
grayscl  # Gray Scale Effect
green  # Green
greenMod  # Green Modulation
gridAfter  # Grid Columns After Last Cell
gridBefore  # Grid Columns Before First Cell
gridCol  # Grid Column Definition
gridCol  # Table Grid Column
gridSpacing  # Grid Spacing
gridSpan  # Grid Columns Spanned by Current Table Cell
group  # Group Structured Document Tag
groupChr  # Group-Character Object
groupChrPr  # Group-Character Properties
grouping  # Bar Grouping
grouping  # Grouping
groupItems  # OLAP Group Items
groupLevel  # OLAP Grouping Levels
groupLevels  # OLAP Grouping Levels
groupMember  # OLAP Group Member
groupMembers  # OLAP Group Members
group  # OLAP Group
groups  # OLAP Level Groups
grow  # n-ary Grow
grpFill  # Group Fill
grpSp  # Group shape
grpSp  # Group Shape
grpSp  # Group Shape
grpSp  # Group Shape
grpSp  # Group Shape
grpSpLocks  # Group Shape Locks
grpSpPr  # Group Shape Properties
grpSpPr  # Group Shape Properties
grpSpPr  # Group Shape Properties
grpSpPr  # Group Shape Properties
grpSpPr  # Visual Group Shape Properties
gsLst  # Gradient Stop List
guide  # A Guide
guideLst  # List of Guides
guid  # Entry ID
gutterAtTop  # Position Gutter At Top of Page
handoutMaster  # Handout Master
handoutMasterId  # Handout Master ID
handoutMasterIdLst  # List of Handout Master IDs
hdr  # Header
headEnd  # Line Head/End Style
headerFooter  # Header and Footer
headerFooter  # Header Footer Settings
header  # Header
header  # Header Cell Reference
header  # Header Cell Reference
headers  # Header Cells Associated With Table Cell
headers  # Header Cells Associated With Table Cell
headers  # Revision Headers
HeadingPairs  # Heading Pairs
helpText  # Associated Help Text
hf  # Header/Footer information for a slide master
h  # Height
hidden  # Hidden Table Row Marker
hidden  # Hide Style From User Interface
HiddenSlides  # Number of Hidden Slides
hideBot  # Hide Bottom Edge
hideGrammaticalErrors  # Do Not Display Visual Indication of Grammatical Errors
hideLeft  # Hide Left Edge
hideMark  # Ignore End Of Cell Marker In Row Height Calculation
hideRight  # Hide Right Edge
hideSpellingErrors  # Do Not Display Visual Indication of Spelling Errors
hideTop  # Hide Top Edge
hierBranch  # Organization Chart Branch Style
highlight  # Text Highlighting
hiLowLines  # High Low Lines
hlinkHover  # Hyperlink for Hover
hlink  # Hyperlink
hlinkMouseOver  # Mouse-Over Hyperlink
HLinks  # Hyperlink List
hMode  # Height Mode
holeSize  # Hole Size
horizontal  # Horizontal Inner Borders
hPercent  # Height Percent
hpsBaseText  # Phonetic Guide Base Text Font Size
hps  # Phonetic Guide Text Font Size
hslClr  # Hue, Saturation, Luminance Color Model
hsl  # HSL
hsl  # Hue Saturation Luminance Effect
hue  # Hue
hueMod  # Hue Modulate
hueOff  # Hue Offset
HyperlinkBase  # Relative Hyperlink Base
hyperlink  # Hyperlink
hyperlink  # Hyperlink
hyperlinks  # Hyperlinks
HyperlinksChanged  # Hyperlinks Changed
hyphenationZone  # Hyphenation Zone
ChapterNumber  # Chapter Number
characteristic  # Single Characteristic
Characters  # Total Number of Characters
charRg  # Character Range
charset  # Character Set
charset  # Character Set Supported By Font
chartFormat  # PivotChart Format
chartFormats  # PivotChart Formats
chart  # Chart
chart  # Chart to Animate
chartObject  # Chart Object
chart  # Reference to Chart Part
chartsheet  # Chart Sheet
checkBox  # Checkbox Form Field Properties
checked  # Checkbox Form Field State
checker  # Checker Slide Transition
checkErrors  # Mail Merge Error Reporting Setting
chExt  # Child Extents
childTnLst  # Children Time Node List
chMax  # Maximum Children
chOff  # Child Offset
choose  # Choose Element
chPref  # Preferred Number of Children
chr  # Character
iconFilter  # Icon Filter
iconSet  # Icon Set
idx  # Index
if  # If
ignoredError  # Ignored Error
ignoredErrors  # Ignored Errors
ignoreMixedContent  # Ignore Mixed Content When Validating Custom XML Markup
i  # Italic
i  # Italics
ilvl  # Numbering Level Reference
imprint  # Imprinting
indexedColors  # Color Indexes
ind  # Paragraph Indentation
inline  # Inline DrawingML Object
innerShdw  # Inner Shadow Effect
inputCells  # Input Cells
insideH  # Inside Horizontal Border
insideH  # Table Cell Inside Horizontal Edges Border
insideH  # Table Inside Horizontal Edges Border
insideV  # Inside Vertical Border
insideV  # Table Cell Inside Vertical Edges Border
insideV  # Table Inside Vertical Edges Border
ins  # Inserted Math Control Character
ins  # Inserted Numbering Properties
ins  # Inserted Paragraph
ins  # Inserted Table Row
Institution  # Institution
intercept  # Intercept
InternetSiteTitle  # Internet Site Title
interSp  # Inter-Equation Spacing
Interviewee  # Interviewee
Interviewer  # Interviewer
int  # Integer
intLim  # Integral Limit Locations
intraSp  # Intra-Equation Spacing
Inventor  # Inventor
invertIfNegative  # Invert if Negative
invGamma  # Inverse Gamma
inv  # Inverse
i  # Row Items
isLgl  # Display All Levels Using Arabic Numerals
Issue  # Issue
italic  # Italic Embedded Font
item  # PivotTable Field Item
items  # Field Items
iterate  # Iterate
i1  # 1-Byte Signed Integer
i2  # 2-Byte Signed Integer
i4  # 4-Byte Signed Integer
i8  # 8-Byte Signed Integer
jc  # Justification
jc  # Paragraph Alignment
jc  # Table Alignment Exception
JournalName  # Journal Name
